Age,Gender,Smoker,Exercise_Freq,Diet_Quality,Alcohol_Consumption
54,Male,No,None,Average,None
49,Male,Yes,None,Excellent,None
26,Male,Yes,None,Excellent,Moderate
58,Female,Yes,3-5 times/week,Average,Moderate
52,Other,No,1-2 times/week,Excellent,Low
36,Female,No,1-2 times/week,Poor,High
65,Male,No,None,Poor,Moderate
33,Other,No,Daily,Good,None
20,Female,No,Daily,Average,None
37,Other,Yes,None,Good,Moderate
41,Female,No,3-5 times/week,Average,Low
50,Male,No,Daily,Average,Low
41,Female,No,1-2 times/week,Good,Low
69,Other,Yes,Daily,Good,Low
28,Other,Yes,Daily,Good,None
66,Other,No,None,Good,Moderate
25,Other,Yes,Daily,Poor,None
53,Male,No,None,Average,High
55,Female,Yes,1-2 times/week,Excellent,Low
57,Male,No,Daily,Average,Low
37,Male,No,None,Poor,High
52,Male,No,None,Average,High
65,Other,Yes,1-2 times/week,Poor,None
42,Other,No,Daily,Average,High
52,Other,No,3-5 times/week,Poor,Low
42,Female,No,Daily,Excellent,High
46,Other,Yes,None,Excellent,None
35,Female,No,None,Excellent,High
63,Other,Yes,1-2 times/week,Excellent,High
35,Other,No,1-2 times/week,Poor,None
19,Male,No,3-5 times/week,Average,None
52,Male,Yes,3-5 times/week,Excellent,None
33,Male,Yes,None,Excellent,Low
58,Female,No,3-5 times/week,Average,Low
53,Female,Yes,3-5 times/week,Average,High
50,Other,No,3-5 times/week,Good,Low
21,Female,No,Daily,Average,Moderate
50,Other,No,Daily,Average,None
31,Female,Yes,None,Average,Moderate
38,Female,Yes,Daily,Good,None
65,Female,No,3-5 times/week,Average,High
37,Male,No,3-5 times/week,Poor,None
25,Female,No,3-5 times/week,Excellent,Low
24,Male,No,Daily,Poor,High
20,Male,No,1-2 times/week,Good,None
34,Female,Yes,3-5 times/week,Good,High
50,Other,No,3-5 times/week,Good,High
65,Other,Yes,1-2 times/week,Good,High
29,Other,Yes,1-2 times/week,Good,Moderate
68,Female,No,None,Excellent,Low
39,Other,No,None,Average,High
39,Male,No,Daily,Poor,Low
63,Other,No,1-2 times/week,Poor,None
47,Female,No,None,Average,High
55,Other,No,3-5 times/week,Good,Low
55,Male,Yes,None,Average,High
62,Female,Yes,3-5 times/week,Good,Moderate
68,Other,No,3-5 times/week,Excellent,None
25,Female,No,3-5 times/week,Poor,Moderate
44,Female,No,Daily,Poor,High
44,Female,No,1-2 times/week,Excellent,Low
51,Other,No,Daily,Excellent,High
38,Female,No,None,Good,High
47,Other,No,None,Average,High
50,Male,No,1-2 times/week,Good,Moderate
45,Other,No,1-2 times/week,Good,Moderate
64,Male,Yes,None,Poor,Low
50,Other,No,1-2 times/week,Good,None
22,Female,No,1-2 times/week,Average,None
65,Other,Yes,3-5 times/week,Good,Low
36,Female,No,Daily,Poor,High
21,Male,Yes,Daily,Average,None
52,Other,Yes,Daily,Average,Moderate
66,Female,No,3-5 times/week,Poor,Low
34,Male,Yes,3-5 times/week,Poor,Low
61,Male,No,1-2 times/week,Good,High
45,Other,No,1-2 times/week,Poor,None
47,Male,No,3-5 times/week,Excellent,None
46,Female,Yes,3-5 times/week,Poor,High
63,Male,No,None,Excellent,Low
23,Male,No,3-5 times/week,Poor,Low
52,Female,No,3-5 times/week,Excellent,Low
58,Male,No,Daily,Excellent,Low
54,Male,No,None,Poor,Moderate
41,Male,Yes,Daily,Average,Moderate
46,Male,No,Daily,Average,Low
66,Female,Yes,None,Excellent,Low
63,Male,No,None,Average,Low
48,Female,No,None,Poor,Moderate
52,Male,No,1-2 times/week,Excellent,High
50,Male,No,None,Good,None
69,Male,Yes,Daily,Excellent,Moderate
38,Male,No,None,Good,Low
49,Female,No,1-2 times/week,Good,Low
40,Female,No,Daily,Excellent,Low
50,Female,Yes,None,Good,Low
20,Other,No,None,Average,High
35,Male,No,Daily,Good,Moderate
42,Male,Yes,Daily,Average,None
59,Female,No,None,Excellent,Low
48,Other,Yes,1-2 times/week,Good,High
20,Male,No,Daily,Good,High
57,Female,No,3-5 times/week,Average,Low
63,Male,Yes,None,Average,Low
41,Male,No,Daily,Excellent,None
67,Female,No,Daily,Excellent,Moderate
49,Female,No,None,Good,None
64,Male,No,None,Poor,Moderate
39,Male,No,None,Good,High
40,Female,No,1-2 times/week,Good,High
19,Male,No,3-5 times/week,Excellent,Low
44,Male,No,Daily,Excellent,None
59,Female,Yes,None,Good,None
19,Male,Yes,None,Average,Low
43,Male,No,1-2 times/week,Excellent,None
34,Other,No,3-5 times/week,Good,High
57,Female,Yes,Daily,Poor,High
50,Other,No,3-5 times/week,Good,Low
26,Other,No,3-5 times/week,Poor,Low
60,Other,Yes,None,Poor,Moderate
65,Male,No,None,Poor,High
56,Male,No,None,Good,High
46,Other,No,1-2 times/week,Excellent,High
59,Other,No,1-2 times/week,Average,High
43,Other,No,1-2 times/week,Average,High
52,Male,No,None,Good,Moderate
67,Other,No,None,Good,Low
42,Other,No,None,Poor,Low
41,Female,No,3-5 times/week,Excellent,None
30,Female,No,1-2 times/week,Good,High
24,Male,No,1-2 times/week,Average,High
53,Female,No,3-5 times/week,Good,Low
62,Female,No,Daily,Excellent,High
37,Female,No,3-5 times/week,Excellent,High
18,Male,No,3-5 times/week,Good,High
25,Female,No,None,Good,Low
63,Male,No,Daily,Excellent,None
33,Other,Yes,3-5 times/week,Excellent,Low
31,Female,No,Daily,Poor,High
29,Male,No,Daily,Good,Low
68,Female,Yes,None,Good,Moderate
40,Other,No,Daily,Good,High
32,Male,Yes,None,Average,Low
45,Male,No,1-2 times/week,Poor,Low
51,Male,No,3-5 times/week,Excellent,None
19,Other,Yes,None,Poor,High
49,Other,Yes,None,Average,Moderate
40,Other,No,3-5 times/week,Poor,Moderate
39,Male,No,None,Average,High
68,Other,No,Daily,Poor,Low
42,Female,Yes,None,Poor,Moderate
39,Other,Yes,None,Poor,High
39,Male,Yes,Daily,Good,Moderate
66,Female,Yes,3-5 times/week,Excellent,High
69,Other,No,None,Poor,Moderate
59,Female,No,1-2 times/week,Good,None
23,Female,No,3-5 times/week,Good,High
32,Male,No,1-2 times/week,Good,None
60,Female,No,1-2 times/week,Average,High
54,Female,No,1-2 times/week,Poor,Moderate
50,Male,Yes,None,Excellent,Moderate
25,Male,No,Daily,Poor,Low
61,Male,No,None,Poor,Moderate
61,Female,No,1-2 times/week,Excellent,None
22,Female,No,1-2 times/week,Good,Low
56,Female,No,Daily,Poor,None
21,Male,Yes,3-5 times/week,Good,None
23,Other,No,1-2 times/week,Good,None
62,Female,No,None,Good,None
49,Other,No,1-2 times/week,Excellent,None
69,Male,No,1-2 times/week,Good,High
47,Female,No,3-5 times/week,Poor,High
64,Other,No,Daily,Good,Low
52,Female,No,1-2 times/week,Average,None
57,Female,No,3-5 times/week,Average,High
69,Female,No,3-5 times/week,Average,Moderate
33,Other,No,1-2 times/week,Good,Low
30,Male,Yes,1-2 times/week,Poor,High
67,Female,Yes,Daily,Poor,Moderate
59,Male,Yes,None,Good,Low
47,Male,Yes,None,Good,Moderate
36,Other,No,Daily,Excellent,None
34,Other,No,3-5 times/week,Good,Moderate
36,Male,No,3-5 times/week,Average,None
45,Female,No,Daily,Excellent,Low
43,Other,No,None,Excellent,None
54,Female,Yes,3-5 times/week,Good,Moderate
43,Female,No,None,Good,None
40,Female,No,3-5 times/week,Excellent,None
26,Male,No,None,Excellent,Low
29,Female,No,Daily,Excellent,None
18,Male,Yes,None,Excellent,High
18,Male,No,3-5 times/week,Excellent,Low
64,Female,No,3-5 times/week,Poor,Moderate
51,Female,Yes,3-5 times/week,Excellent,Low
49,Female,No,1-2 times/week,Excellent,Moderate
65,Female,No,1-2 times/week,Poor,Moderate
42,Male,No,3-5 times/week,Average,None
57,Female,No,Daily,Average,Low
62,Female,No,3-5 times/week,Average,Moderate
18,Male,No,Daily,Average,High
33,Other,No,3-5 times/week,Good,None
56,Other,No,3-5 times/week,Good,None
22,Male,Yes,Daily,Excellent,Moderate
39,Other,No,None,Excellent,High
46,Male,Yes,1-2 times/week,Average,None
20,Female,No,3-5 times/week,Average,Low
29,Female,Yes,Daily,Poor,Moderate
43,Other,No,Daily,Poor,High
33,Female,No,1-2 times/week,Poor,Moderate
68,Other,No,1-2 times/week,Average,None
54,Other,No,None,Poor,High
39,Female,No,3-5 times/week,Excellent,Moderate
46,Female,No,1-2 times/week,Average,Moderate
31,Other,No,None,Good,Moderate
45,Female,No,3-5 times/week,Average,Low
22,Male,No,3-5 times/week,Good,Low
64,Female,No,Daily,Good,Low
66,Female,No,1-2 times/week,Average,Low
47,Male,Yes,None,Poor,None
63,Female,No,None,Excellent,Moderate
69,Female,Yes,Daily,Average,Low
22,Other,No,None,Poor,None
29,Female,No,None,Good,Low
33,Female,No,3-5 times/week,Good,None
43,Male,Yes,1-2 times/week,Good,High
43,Other,Yes,Daily,Good,Low
65,Other,No,1-2 times/week,Average,Low
38,Other,No,None,Excellent,Moderate
56,Female,Yes,None,Good,Low
53,Other,No,None,Poor,Low
50,Male,No,1-2 times/week,Poor,None
47,Other,Yes,Daily,Excellent,Moderate
54,Male,No,Daily,Excellent,Moderate
40,Other,No,3-5 times/week,Excellent,High
27,Other,No,Daily,Good,None
22,Male,No,3-5 times/week,Average,Low
53,Other,No,None,Good,None
51,Other,No,Daily,Good,Low
69,Other,Yes,3-5 times/week,Poor,High
48,Female,No,3-5 times/week,Average,Low
27,Male,No,1-2 times/week,Average,Moderate
36,Other,No,None,Poor,High
49,Male,No,Daily,Poor,Low
18,Male,Yes,Daily,Poor,High
22,Male,No,Daily,Excellent,Moderate
62,Other,No,3-5 times/week,Average,Moderate
21,Other,No,Daily,Poor,None
33,Male,Yes,Daily,Poor,Low
41,Female,No,Daily,Poor,High
33,Male,No,None,Good,None
19,Female,No,None,Average,High
66,Male,No,3-5 times/week,Average,None
45,Male,Yes,1-2 times/week,Excellent,None
49,Male,No,Daily,Good,None
44,Other,No,Daily,Average,Moderate
37,Female,Yes,3-5 times/week,Excellent,Moderate
41,Female,Yes,Daily,Excellent,Moderate
29,Male,No,1-2 times/week,Poor,Moderate
67,Other,No,3-5 times/week,Excellent,High
52,Other,No,None,Excellent,Low
50,Female,No,1-2 times/week,Good,Moderate
50,Other,No,Daily,Poor,Low
68,Female,No,1-2 times/week,Poor,None
60,Female,No,None,Poor,Low
54,Female,Yes,3-5 times/week,Excellent,Moderate
29,Other,No,1-2 times/week,Poor,High
20,Female,No,3-5 times/week,Average,Moderate
18,Female,No,3-5 times/week,Good,High
50,Male,No,Daily,Good,Moderate
57,Female,Yes,Daily,Excellent,None
27,Female,Yes,3-5 times/week,Poor,High
60,Male,Yes,None,Good,None
61,Male,No,3-5 times/week,Excellent,Moderate
46,Other,Yes,None,Excellent,None
30,Female,No,1-2 times/week,Good,Low
29,Other,No,3-5 times/week,Poor,Low
48,Other,Yes,1-2 times/week,Poor,High
63,Male,No,3-5 times/week,Average,Low
19,Other,Yes,1-2 times/week,Average,Low
68,Female,No,None,Poor,Moderate
67,Male,Yes,1-2 times/week,Average,Moderate
52,Female,No,1-2 times/week,Average,Low
40,Female,No,Daily,Good,High
34,Male,No,3-5 times/week,Poor,Low
43,Female,No,3-5 times/week,Good,Moderate
25,Male,No,3-5 times/week,Good,None
46,Female,Yes,3-5 times/week,Excellent,High
43,Male,No,Daily,Poor,High
27,Other,Yes,None,Good,Low
43,Female,No,1-2 times/week,Average,None
51,Male,Yes,1-2 times/week,Excellent,High
68,Female,Yes,None,Average,High
58,Female,No,1-2 times/week,Excellent,Moderate
24,Female,Yes,Daily,Average,Low
21,Male,No,3-5 times/week,Average,Low
67,Other,No,3-5 times/week,Average,High
62,Other,No,Daily,Good,None
28,Other,No,3-5 times/week,Poor,None
46,Male,No,1-2 times/week,Excellent,None
53,Other,No,None,Good,None
42,Male,Yes,None,Excellent,Low
38,Female,Yes,1-2 times/week,Good,Moderate
53,Female,No,None,Excellent,None
27,Other,Yes,None,Excellent,None
54,Male,No,3-5 times/week,Average,Moderate
26,Female,No,1-2 times/week,Excellent,Low
41,Male,No,Daily,Excellent,Moderate
52,Male,Yes,None,Average,Moderate
66,Female,No,1-2 times/week,Good,None
52,Male,No,Daily,Good,Moderate
65,Female,No,Daily,Poor,Moderate
53,Female,Yes,3-5 times/week,Poor,Low
35,Female,No,3-5 times/week,Poor,None
66,Male,No,None,Poor,None
56,Female,Yes,1-2 times/week,Excellent,High
49,Male,No,1-2 times/week,Excellent,None
41,Female,No,3-5 times/week,Poor,Low
40,Female,No,3-5 times/week,Average,Low
49,Other,No,3-5 times/week,Poor,Low
54,Other,No,None,Good,High
29,Other,No,1-2 times/week,Excellent,High
66,Male,No,None,Average,Low
30,Male,No,1-2 times/week,Good,None
40,Female,Yes,3-5 times/week,Average,High
42,Female,Yes,None,Average,None
52,Female,No,Daily,Poor,High
58,Female,No,None,Good,Moderate
47,Male,No,None,Poor,Low
34,Female,No,Daily,Good,Moderate
66,Female,No,Daily,Excellent,Low
37,Other,Yes,3-5 times/week,Good,Moderate
65,Female,Yes,Daily,Excellent,None
42,Female,Yes,Daily,Excellent,None
39,Female,Yes,None,Poor,Low
30,Male,No,None,Excellent,None
36,Other,No,3-5 times/week,Poor,Low
66,Female,Yes,Daily,Average,Moderate
53,Female,No,1-2 times/week,Average,Low
29,Other,No,None,Average,High
58,Female,No,3-5 times/week,Good,Moderate
36,Male,No,None,Excellent,Moderate
29,Female,Yes,None,Poor,Low
26,Male,No,1-2 times/week,Average,High
24,Male,Yes,3-5 times/week,Poor,High
45,Female,No,1-2 times/week,Average,None
31,Other,No,1-2 times/week,Excellent,Moderate
48,Male,No,3-5 times/week,Average,None
69,Other,No,Daily,Poor,Moderate
36,Female,Yes,1-2 times/week,Average,Moderate
64,Male,No,Daily,Poor,Moderate
33,Female,No,None,Average,Moderate
22,Other,No,3-5 times/week,Poor,Low
52,Female,No,3-5 times/week,Average,High
29,Female,No,None,Excellent,Moderate
42,Male,No,None,Average,None
69,Female,Yes,None,Good,None
38,Female,Yes,1-2 times/week,Poor,Low
53,Female,No,1-2 times/week,Average,High
40,Male,No,1-2 times/week,Good,Moderate
33,Other,Yes,1-2 times/week,Poor,Low
56,Other,No,1-2 times/week,Average,None
62,Female,No,Daily,Average,High
59,Male,No,Daily,Excellent,Moderate
56,Female,No,1-2 times/week,Average,High
31,Other,Yes,3-5 times/week,Poor,None
48,Male,No,3-5 times/week,Good,Low
22,Other,No,Daily,Average,Low
52,Other,No,Daily,Good,None
40,Male,No,3-5 times/week,Poor,Moderate
46,Male,No,3-5 times/week,Poor,Moderate
60,Female,No,3-5 times/week,Average,High
28,Female,No,Daily,Excellent,None
35,Other,No,Daily,Average,None
64,Male,No,3-5 times/week,Excellent,Moderate
29,Male,No,Daily,Average,None
26,Female,No,1-2 times/week,Good,Low
27,Other,Yes,3-5 times/week,Excellent,Moderate
61,Other,No,None,Excellent,Moderate
34,Female,Yes,3-5 times/week,Good,Low
55,Male,No,Daily,Average,None
24,Female,Yes,None,Poor,Moderate
63,Female,No,None,Poor,Moderate
30,Female,Yes,3-5 times/week,Average,Moderate
57,Female,No,1-2 times/week,Good,None
59,Male,No,1-2 times/week,Poor,Moderate
26,Female,Yes,Daily,Good,None
67,Male,No,None,Average,High
44,Female,No,1-2 times/week,Good,Low
19,Other,No,Daily,Good,None
22,Male,Yes,None,Good,None
46,Other,Yes,Daily,Poor,Low
54,Female,Yes,1-2 times/week,Good,None
55,Female,Yes,Daily,Excellent,Low
36,Female,Yes,Daily,Good,High
25,Male,No,1-2 times/week,Good,Moderate
65,Other,No,1-2 times/week,Average,Low
62,Male,No,Daily,Good,Low
18,Male,Yes,1-2 times/week,Good,Moderate
39,Female,No,3-5 times/week,Poor,Moderate
69,Other,No,3-5 times/week,Excellent,None
34,Female,No,3-5 times/week,Average,None
24,Male,Yes,None,Excellent,None
42,Female,No,3-5 times/week,Good,Moderate
62,Other,No,3-5 times/week,Poor,Moderate
